---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
           aten::cudnn_batch_norm        12.13%      14.044ms        15.11%      17.492ms      48.187us      15.868ms        13.72%      20.313ms      55.959us           0 b           0 b     977.32 Mb           0 b           363  
                 aten::empty_like         1.13%       1.313ms         1.90%       2.198ms       6.055us       1.105ms         0.96%       1.661ms       4.576us           0 b           0 b     976.54 Mb           0 b           363  
                       aten::view         0.33%     387.000us         0.33%     387.000us       1.066us     527.000us         0.46%     527.000us       1.452us           0 b           0 b           0 b           0 b           363  
                      aten::relu_         1.98%       2.297ms         3.48%       4.025ms      12.087us     998.000us         0.86%       9.139ms      27.444us           0 b           0 b           0 b           0 b           333  
                 aten::clamp_min_         1.49%       1.728ms         1.49%       1.728ms       5.189us       8.141ms         7.04%       8.141ms      24.447us           0 b           0 b           0 b           0 b           333  
                 aten::max_pool2d         0.17%     199.000us         0.75%     865.000us      15.175us     167.000us         0.14%       1.163ms      20.404us           0 b           0 b      84.27 Mb           0 b            57  
    aten::max_pool2d_with_indices         0.58%     666.000us         0.58%     666.000us      11.684us     996.000us         0.86%     996.000us      17.474us           0 b           0 b      84.27 Mb      84.27 Mb            57  
         aten::upsample_nearest2d         0.56%     650.000us         0.56%     650.000us      13.542us     439.000us         0.38%     439.000us       9.146us           0 b           0 b      34.24 Mb      34.24 Mb            48  
                         aten::to         0.00%       0.000us         0.00%       0.000us       0.000us     146.000us         0.13%     146.000us       1.521us           0 b           0 b           0 b           0 b            96  
                       aten::relu         0.63%     729.000us         1.27%       1.472ms      15.333us     330.000us         0.29%     747.000us       7.781us           0 b           0 b      48.00 Kb           0 b            96  
                  aten::clamp_min         0.64%     743.000us         0.64%     743.000us       7.740us     417.000us         0.36%     417.000us       4.344us           0 b           0 b      48.00 Kb      48.00 Kb            96  
                        aten::sum         2.49%       2.880ms         2.50%       2.890ms      15.052us       2.353ms         2.03%       2.661ms      13.859us           0 b           0 b      42.86 Mb      42.86 Mb           192  
                 aten::as_strided         0.04%      50.000us         0.04%      50.000us       0.057us       1.354ms         1.17%       1.354ms       1.546us           0 b           0 b           0 b           0 b           876  
                     aten::select         1.11%       1.285ms         1.12%       1.299ms       5.697us     700.000us         0.61%       1.050ms       4.605us           0 b           0 b           0 b           0 b           228  
                        aten::mul         1.89%       2.184ms         1.89%       2.184ms       9.579us       1.784ms         1.54%       1.784ms       7.825us           0 b           0 b      96.07 Mb      96.07 Mb           228  
                        aten::add         1.53%       1.772ms         1.53%       1.772ms       7.772us     981.000us         0.85%     981.000us       4.303us           0 b           0 b     114.00 Kb     114.00 Kb           228  
                        aten::div         1.70%       1.969ms         1.70%       1.969ms       8.636us       1.701ms         1.47%       1.701ms       7.461us           0 b           0 b      94.08 Mb      94.08 Mb           228  
                      aten::stack         1.13%       1.304ms         4.79%       5.549ms      57.802us     725.000us         0.63%       5.788ms      60.292us           0 b           0 b      98.71 Mb           0 b            96  
                  aten::unsqueeze         0.51%     591.000us         0.52%     599.000us       2.627us     730.000us         0.63%       1.047ms       4.592us           0 b           0 b           0 b           0 b           228  
                        aten::cat         1.96%       2.269ms         3.15%       3.646ms      37.979us       2.239ms         1.94%       3.986ms      41.521us           0 b           0 b      98.71 Mb      98.71 Mb            96  
                     aten::narrow         0.54%     622.000us         1.19%       1.377ms       6.039us     700.000us         0.61%       1.747ms       7.662us           0 b           0 b           0 b           0 b           228  
                      aten::slice         0.64%     737.000us         0.65%     755.000us       3.311us     698.000us         0.60%       1.047ms       4.592us           0 b           0 b           0 b           0 b           228  
                    aten::reshape         0.11%     132.000us         0.14%     162.000us       5.400us      83.000us         0.07%     130.000us       4.333us           0 b           0 b           0 b           0 b            30  
             aten::_reshape_alias         0.03%      30.000us         0.03%      30.000us       1.000us      47.000us         0.04%      47.000us       1.567us           0 b           0 b           0 b           0 b            30  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 115.739ms
Self CUDA time total: 115.634ms

Average inference time: 38.57966666666666 ms
